rt,coherence,decision,animal
662.0,0.0,1.0,0.0
386.0,512.0,1.0,0.0
953.0,32.0,0.0,0.0
572.0,128.0,1.0,0.0
858.0,0.0,1.0,0.0
926.0,64.0,0.0,0.0
708.0,256.0,1.0,0.0
377.0,512.0,1.0,0.0
733.0,64.0,1.0,0.0
874.0,128.0,1.0,0.0
486.0,256.0,1.0,0.0
790.0,32.0,0.0,0.0
398.0,512.0,1.0,0.0
432.0,256.0,1.0,0.0
634.0,32.0,1.0,0.0
316.0,512.0,1.0,0.0
992.0,0.0,1.0,0.0
1004.0,64.0,0.0,0.0
544.0,256.0,1.0,0.0
595.0,128.0,1.0,0.0
874.0,32.0,0.0,0.0
721.0,0.0,0.0,0.0
870.0,128.0,1.0,0.0
1170.0,64.0,0.0,0.0
792.0,128.0,1.0,0.0
901.0,0.0,0.0,0.0
560.0,64.0,0.0,0.0
979.0,32.0,0.0,0.0
315.0,512.0,1.0,0.0
943.0,64.0,1.0,0.0
480.0,128.0,1.0,0.0
313.0,512.0,1.0,0.0
434.0,256.0,1.0,0.0
325.0,256.0,1.0,0.0
894.0,0.0,0.0,0.0
423.0,32.0,1.0,0.0
789.0,0.0,0.0,0.0
1167.0,64.0,0.0,0.0
1158.0,128.0,1.0,0.0
346.0,512.0,1.0,0.0
861.0,32.0,0.0,0.0
527.0,256.0,1.0,0.0
543.0,128.0,1.0,0.0
713.0,64.0,1.0,0.0
323.0,512.0,1.0,0.0
808.0,32.0,1.0,0.0
562.0,256.0,1.0,0.0
830.0,0.0,0.0,0.0
924.0,32.0,1.0,0.0
470.0,256.0,1.0,0.0
483.0,128.0,1.0,0.0
550.0,64.0,1.0,0.0
987.0,0.0,0.0,0.0
898.0,64.0,1.0,0.0
327.0,512.0,1.0,0.0
801.0,128.0,1.0,0.0
278.0,512.0,1.0,0.0
887.0,0.0,0.0,0.0
503.0,256.0,1.0,0.0
1051.0,32.0,1.0,0.0
622.0,256.0,1.0,0.0
943.0,32.0,1.0,0.0
742.0,128.0,1.0,0.0
894.0,0.0,1.0,0.0
522.0,64.0,1.0,0.0
451.0,256.0,1.0,0.0
1050.0,32.0,1.0,0.0
287.0,512.0,1.0,0.0
872.0,0.0,1.0,0.0
886.0,64.0,1.0,0.0
484.0,512.0,1.0,0.0
365.0,128.0,1.0,0.0
570.0,128.0,1.0,0.0
1092.0,0.0,0.0,0.0
928.0,64.0,1.0,0.0
737.0,128.0,1.0,0.0
461.0,512.0,1.0,0.0
406.0,512.0,1.0,0.0
892.0,0.0,1.0,0.0
642.0,64.0,1.0,0.0
955.0,32.0,1.0,0.0
